,이름,연도,팀,나이,P,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,BABIP,RE24,WPA,타순,이닝,상황,스코어,wpa
3,정은원,2019,한화,19,2B,142,624,564,83,148,27,6,8,211,57,14,7,48,0,0,101,6,6,6,0.262,0.317,0.374,0.691,0.317,91.9,2.08,0.304,-6.07,0.05,1,5,무사 1루,3:01,-0.029
0,김선빈,2019,KIA,30,SS,121,447,394,55,115,22,0,3,146,40,5,4,43,1,0,26,7,5,4,0.292,0.36,0.371,0.73,0.34,103.9,2.27,0.304,10.06,1.05,2,7,무사 1루,2:03,-0.011
1,김선빈,2019,KIA,30,SS,121,447,394,55,115,22,0,3,146,40,5,4,43,1,0,26,7,5,4,0.292,0.36,0.371,0.73,0.34,103.9,2.27,0.304,10.06,1.05,2,1,무사 1루,0:00,-0.018
2,김선빈,2019,KIA,30,SS,121,447,394,55,115,22,0,3,146,40,5,4,43,1,0,26,7,5,4,0.292,0.36,0.371,0.73,0.34,103.9,2.27,0.304,10.06,1.05,2,7,무사 1루,4:04,-0.02
0,김주찬,2019,KIA,38,1B,100,363,337,35,101,16,0,3,126,32,3,1,17,5,3,44,6,1,3,0.3,0.34,0.374,0.714,0.33,96.3,0.69,0.335,-12.87,-0.46,1,8,무사 1루,1:03,-0.003
0,전준우,2019,롯데,33,LF,141,606,545,85,164,30,1,22,262,83,8,2,46,7,2,71,19,1,7,0.301,0.359,0.481,0.839,0.379,130.5,4.24,0.309,9.46,0.53,1,8,무사 1루,2:02,-0.019
0,정훈,2019,롯데,32,1B,88,222,190,26,43,4,1,2,55,17,4,3,23,5,1,47,4,3,1,0.226,0.324,0.289,0.614,0.293,73.2,-0.06,0.289,-5.39,-0.59,6,7,무사 1루,2:01,-0.035
1,정훈,2019,롯데,32,1B,88,222,190,26,43,4,1,2,55,17,4,3,23,5,1,47,4,3,1,0.226,0.324,0.289,0.614,0.293,73.2,-0.06,0.289,-5.39,-0.59,2,3,무사 1루,0:02,-0.011
0,신본기,2019,롯데,30,SS,121,413,375,43,96,9,0,1,108,26,3,3,24,8,1,62,9,5,1,0.256,0.314,0.288,0.602,0.286,68.4,0.6,0.304,-24.15,-1.68,9,8,무사 1루,2:01,-0.042
1,신본기,2019,롯데,30,SS,121,413,375,43,96,9,0,1,108,26,3,3,24,8,1,62,9,5,1,0.256,0.314,0.288,0.602,0.286,68.4,0.6,0.304,-24.15,-1.68,2,1,무사 1루,0:00,-0.018
0,오지환,2019,LG,29,SS,134,547,473,63,119,23,5,9,179,53,27,5,57,7,1,113,7,7,3,0.252,0.339,0.378,0.717,0.33,101.1,3.4,0.311,3.9,0.85,2,5,무사 1루,2:03,-0.014
1,오지환,2019,LG,29,SS,134,547,473,63,119,23,5,9,179,53,27,5,57,7,1,113,7,7,3,0.252,0.339,0.378,0.717,0.33,101.1,3.4,0.311,3.9,0.85,2,3,무사 1루,1:00,-0.016
0,김민성,2019,LG,31,3B,107,401,361,44,94,16,0,8,134,50,2,1,30,4,0,75,12,5,1,0.26,0.323,0.371,0.694,0.32,94.8,1.68,0.308,-1.46,0.43,7,8,무사 1루,4:00,-0.002
1,김민성,2019,LG,31,3B,107,401,361,44,94,16,0,8,134,50,2,1,30,4,0,75,12,5,1,0.26,0.323,0.371,0.694,0.32,94.8,1.68,0.308,-1.46,0.43,2,8,무사 1루,4:01,-0.004
0,이형종,2019,LG,30,LF,120,482,419,56,120,24,1,13,185,63,6,5,42,10,1,78,9,1,10,0.286,0.358,0.442,0.799,0.363,125.5,3.02,0.317,-0.07,0.34,6,2,무사 1루,0:00,-0.018
0,유강남,2019,LG,27,C,132,468,418,44,113,22,0,16,183,49,0,0,30,13,2,82,21,1,6,0.27,0.334,0.438,0.772,0.35,117.3,3.38,0.298,-12.48,0,8,8,무사 1루,5:04,-0.013
0,장성우,2019,KT,29,C,127,413,366,25,96,7,0,7,124,41,0,1,35,2,2,86,11,4,6,0.262,0.325,0.339,0.664,0.308,82.7,1.28,0.319,-18.46,-1.94,8,7,무사 1루,1:00,-0.015
1,장성우,2019,KT,29,C,127,413,366,25,96,7,0,7,124,41,0,1,35,2,2,86,11,4,6,0.262,0.325,0.339,0.664,0.308,82.7,1.28,0.319,-18.46,-1.94,8,5,무사 1루,1:00,-0.016
2,장성우,2019,KT,29,C,127,413,366,25,96,7,0,7,124,41,0,1,35,2,2,86,11,4,6,0.262,0.325,0.339,0.664,0.308,82.7,1.28,0.319,-18.46,-1.94,8,7,무사 1루,2:01,-0.015
3,장성우,2019,KT,29,C,127,413,366,25,96,7,0,7,124,41,0,1,35,2,2,86,11,4,6,0.262,0.325,0.339,0.664,0.308,82.7,1.28,0.319,-18.46,-1.94,8,5,무사 1루,1:00,-0.016
0,박경수,2019,KT,35,2B,137,490,421,43,104,24,0,10,158,65,0,1,55,4,1,102,14,4,6,0.247,0.335,0.375,0.711,0.328,97.3,2.16,0.298,-7.22,0.17,1,6,무사 1루,3:05,-0.008
1,박경수,2019,KT,35,2B,137,490,421,43,104,24,0,10,158,65,0,1,55,4,1,102,14,4,6,0.247,0.335,0.375,0.711,0.328,97.3,2.16,0.298,-7.22,0.17,6,7,무사 1루,1:01,-0.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.016026316
