타자,도루RAA,도루 성공,도루 실패,상대,도루,도실,도실%,도루기회,도루시도%,도루 성공 여부
손아섭,7.25,42,4,KIA,60,12,16.7,908,7.9,도루
손아섭,7.25,42,4,KIA,60,12,16.7,908,7.9,도루
손아섭,7.25,42,4,KIA,60,12,16.7,908,7.9,도루
손아섭,7.25,42,4,KIA,60,12,16.7,908,7.9,도루
손아섭,7.25,42,4,KIA,60,12,16.7,908,7.9,도루
손아섭,7.25,42,4,KIA,60,12,16.7,908,7.9,도루
손아섭,7.25,42,4,KIA,60,12,16.7,908,7.9,도루
박해민,3.61,52,15,KIA,60,12,16.7,908,7.9,실패
박해민,3.61,52,15,KIA,60,12,16.7,908,7.9,도루
박해민,3.61,52,15,KIA,60,12,16.7,908,7.9,도루
박해민,3.61,52,15,KIA,60,12,16.7,908,7.9,실패
박해민,3.61,52,15,KIA,60,12,16.7,908,7.9,도루
박해민,3.61,52,15,KIA,60,12,16.7,908,7.9,도루
박해민,3.61,52,15,KIA,60,12,16.7,908,7.9,도루
박해민,3.61,52,15,KIA,60,12,16.7,908,7.9,도루
심우준,3.09,17,1,KIA,60,12,16.7,908,7.9,도루
심우준,3.09,17,1,KIA,60,12,16.7,908,7.9,도루
아두치,2.23,15,2,KIA,60,12,16.7,908,7.9,실패
아두치,2.23,15,2,KIA,60,12,16.7,908,7.9,도루
아두치,2.23,15,2,KIA,60,12,16.7,908,7.9,도루
이종욱,2.09,15,3,KIA,60,12,16.7,908,7.9,도루
이종욱,2.09,15,3,KIA,60,12,16.7,908,7.9,도루
박민우,1.7,20,6,KIA,60,12,16.7,908,7.9,실패
박민우,1.7,20,6,KIA,60,12,16.7,908,7.9,도루
박민우,1.7,20,6,KIA,60,12,16.7,908,7.9,도루
박민우,1.7,20,6,KIA,60,12,16.7,908,7.9,도루
민병헌,1.45,9,2,KIA,60,12,16.7,908,7.9,도루
김재환,1.17,8,2,KIA,60,12,16.7,908,7.9,도루
테임즈,1.15,13,4,KIA,60,12,16.7,908,7.9,도루
테임즈,1.15,13,4,KIA,60,12,16.7,908,7.9,도루
이재율,1.11,8,1,KIA,60,12,16.7,908,7.9,도루
이재율,1.11,8,1,KIA,60,12,16.7,908,7.9,도루
문선재,1.11,5,0,KIA,60,12,16.7,908,7.9,도루
문선재,1.11,5,0,KIA,60,12,16.7,908,7.9,도루
문선재,1.11,5,0,KIA,60,12,16.7,908,7.9,실패
김경언,0.84,3,0,KIA,60,12,16.7,908,7.9,도루
김민하,0.83,4,0,KIA,60,12,16.7,908,7.9,도루
김민하,0.83,4,0,KIA,60,12,16.7,908,7.9,도루
김민하,0.83,4,0,KIA,60,12,16.7,908,7.9,도루
김용의,0.73,19,7,KIA,60,12,16.7,908,7.9,도루
김용의,0.73,19,7,KIA,60,12,16.7,908,7.9,도루
김용의,0.73,19,7,KIA,60,12,16.7,908,7.9,도루
정수빈,0.73,12,4,KIA,60,12,16.7,908,7.9,도루
정수빈,0.73,12,4,KIA,60,12,16.7,908,7.9,도루
정수빈,0.73,12,4,KIA,60,12,16.7,908,7.9,실패
대니돈,0.72,1,0,KIA,60,12,16.7,908,7.9,실패
손아섭,7.25,42,4,kt,39,36,48,1141,6.6,도루
손아섭,7.25,42,4,kt,39,36,48,1141,6.6,도루
손아섭,7.25,42,4,kt,39,36,48,1141,6.6,도루
박해민,3.61,52,15,kt,39,36,48,1141,6.6,실패
박해민,3.61,52,15,kt,39,36,48,1141,6.6,도루
박해민,3.61,52,15,kt,39,36,48,1141,6.6,도루
박해민,3.61,52,15,kt,39,36,48,1141,6.6,도루
박해민,3.61,52,15,kt,39,36,48,1141,6.6,도루
박해민,3.61,52,15,kt,39,36,48,1141,6.6,도루
박해민,3.61,52,15,kt,39,36,48,1141,6.6,도루
아두치,2.23,15,2,kt,39,36,48,1141,6.6,도루
정근우,2.13,22,6,kt,39,36,48,1141,6.6,도루
정근우,2.13,22,6,kt,39,36,48,1141,6.6,도루
정근우,2.13,22,6,kt,39,36,48,1141,6.6,도루
정근우,2.13,22,6,kt,39,36,48,1141,6.6,도루
이종욱,2.09,15,3,kt,39,36,48,1141,6.6,도루
박민우,1.7,20,6,kt,39,36,48,1141,6.6,도루
박민우,1.7,20,6,kt,39,36,48,1141,6.6,실패
박민우,1.7,20,6,kt,39,36,48,1141,6.6,도루
박민우,1.7,20,6,kt,39,36,48,1141,6.6,도루
노수광,1.68,12,2,kt,39,36,48,1141,6.6,도루
민병헌,1.45,9,2,kt,39,36,48,1141,6.6,실패
박정권,1.23,4,0,kt,39,36,48,1141,6.6,도루
김재환,1.17,8,2,kt,39,36,48,1141,6.6,도루
테임즈,1.15,13,4,kt,39,36,48,1141,6.6,도루
테임즈,1.15,13,4,kt,39,36,48,1141,6.6,실패
테임즈,1.15,13,4,kt,39,36,48,1141,6.6,도루
이재율,1.11,8,1,kt,39,36,48,1141,6.6,실패
필,1.01,10,3,kt,39,36,48,1141,6.6,도루
필,1.01,10,3,kt,39,36,48,1141,6.6,실패
필,1.01,10,3,kt,39,36,48,1141,6.6,실패
윤정우,0.8,6,1,kt,39,36,48,1141,6.6,실패
윤정우,0.8,6,1,kt,39,36,48,1141,6.6,도루
김용의,0.73,19,7,kt,39,36,48,1141,6.6,도루
김용의,0.73,19,7,kt,39,36,48,1141,6.6,도루
김용의,0.73,19,7,kt,39,36,48,1141,6.6,도루
정수빈,0.73,12,4,kt,39,36,48,1141,6.6,도루
정수빈,0.73,12,4,kt,39,36,48,1141,6.6,도루
손아섭,7.25,42,4,LG,41,28,40.6,1091,6.3,실패
손아섭,7.25,42,4,LG,41,28,40.6,1091,6.3,도루
박해민,3.61,52,15,LG,41,28,40.6,1091,6.3,도루
박해민,3.61,52,15,LG,41,28,40.6,1091,6.3,도루
박해민,3.61,52,15,LG,41,28,40.6,1091,6.3,실패
박해민,3.61,52,15,LG,41,28,40.6,1091,6.3,실패
박해민,3.61,52,15,LG,41,28,40.6,1091,6.3,실패
박해민,3.61,52,15,LG,41,28,40.6,1091,6.3,도루
아두치,2.23,15,2,LG,41,28,40.6,1091,6.3,도루
정근우,2.13,22,6,LG,41,28,40.6,1091,6.3,실패
정근우,2.13,22,6,LG,41,28,40.6,1091,6.3,도루
정근우,2.13,22,6,LG,41,28,40.6,1091,6.3,실패
정근우,2.13,22,6,LG,41,28,40.6,1091,6.3,실패
이종욱,2.09,15,3,LG,41,28,40.6,1091,6.3,도루
이종욱,2.09,15,3,LG,41,28,40.6,1091,6.3,도루
박민우,1.7,20,6,LG,41,28,40.6,1091,6.3,실패
노수광,1.68,12,2,LG,41,28,40.6,1091,6.3,실패
강민호,1.34,4,0,LG,41,28,40.6,1091,6.3,도루
김재환,1.17,8,2,LG,41,28,40.6,1091,6.3,도루
김재환,1.17,8,2,LG,41,28,40.6,1091,6.3,도루
김재환,1.17,8,2,LG,41,28,40.6,1091,6.3,실패
이재율,1.11,8,1,LG,41,28,40.6,1091,6.3,도루
필,1.01,10,3,LG,41,28,40.6,1091,6.3,도루
필,1.01,10,3,LG,41,28,40.6,1091,6.3,도루
필,1.01,10,3,LG,41,28,40.6,1091,6.3,도루
필,1.01,10,3,LG,41,28,40.6,1091,6.3,도루
김민하,0.83,4,0,LG,41,28,40.6,1091,6.3,도루
윤정우,0.8,6,1,LG,41,28,40.6,1091,6.3,도루
윤정우,0.8,6,1,LG,41,28,40.6,1091,6.3,도루
정수빈,0.73,12,4,LG,41,28,40.6,1091,6.3,도루
손아섭,7.25,42,4,NC,60,34,36.2,1491,6.3,도루
손아섭,7.25,42,4,NC,60,34,36.2,1491,6.3,도루
박해민,3.61,52,15,NC,60,34,36.2,1491,6.3,도루
박해민,3.61,52,15,NC,60,34,36.2,1491,6.3,도루
박해민,3.61,52,15,NC,60,34,36.2,1491,6.3,도루
박해민,3.61,52,15,NC,60,34,36.2,1491,6.3,도루
박해민,3.61,52,15,NC,60,34,36.2,1491,6.3,도루
박해민,3.61,52,15,NC,60,34,36.2,1491,6.3,도루
심우준,3.09,17,1,NC,60,34,36.2,1491,6.3,도루
아두치,2.23,15,2,NC,60,34,36.2,1491,6.3,도루
정근우,2.13,22,6,NC,60,34,36.2,1491,6.3,실패
정근우,2.13,22,6,NC,60,34,36.2,1491,6.3,도루
정근우,2.13,22,6,NC,60,34,36.2,1491,6.3,도루
노수광,1.68,12,2,NC,60,34,36.2,1491,6.3,도루
민병헌,1.45,9,2,NC,60,34,36.2,1491,6.3,도루
민병헌,1.45,9,2,NC,60,34,36.2,1491,6.3,도루
