타자,도루RAA,도루 성공,도루 실패,상대,도루,도실,도실%,도루기회,도루시도%,SPD,도루 성공 여부
김종호,3.56,41,10,KIA,57,17,23,814,9.1,7.9,실패
김종호,3.56,41,10,KIA,57,17,23,814,9.1,7.9,도루
김종호,3.56,41,10,KIA,57,17,23,814,9.1,7.9,도루
김종호,3.56,41,10,KIA,57,17,23,814,9.1,7.9,도루
김종호,3.56,41,10,KIA,57,17,23,814,9.1,7.9,도루
김종호,3.56,41,10,KIA,57,17,23,814,9.1,7.9,도루
김종호,3.56,41,10,KIA,57,17,23,814,9.1,7.9,실패
김종호,3.56,41,10,KIA,57,17,23,814,9.1,7.9,실패
김하성,2.59,22,4,KIA,57,17,23,814,9.1,7.9,도루
김하성,2.59,22,4,KIA,57,17,23,814,9.1,7.9,도루
김하성,2.59,22,4,KIA,57,17,23,814,9.1,7.9,도루
나바로,1.66,22,6,KIA,57,17,23,814,9.1,7.9,실패
나바로,1.66,22,6,KIA,57,17,23,814,9.1,7.9,도루
나바로,1.66,22,6,KIA,57,17,23,814,9.1,7.9,실패
나바로,1.66,22,6,KIA,57,17,23,814,9.1,7.9,도루
나바로,1.66,22,6,KIA,57,17,23,814,9.1,7.9,도루
나바로,1.66,22,6,KIA,57,17,23,814,9.1,7.9,도루
나성범,2.79,23,4,KIA,57,17,23,814,9.1,7.9,도루
나성범,2.79,23,4,KIA,57,17,23,814,9.1,7.9,도루
박기혁,0.65,3,0,KIA,57,17,23,814,9.1,7.9,도루
박민우,1.76,46,16,KIA,57,17,23,814,9.1,7.9,도루
박민우,1.76,46,16,KIA,57,17,23,814,9.1,7.9,도루
박민우,1.76,46,16,KIA,57,17,23,814,9.1,7.9,도루
박민우,1.76,46,16,KIA,57,17,23,814,9.1,7.9,실패
박민우,1.76,46,16,KIA,57,17,23,814,9.1,7.9,도루
박민우,1.76,46,16,KIA,57,17,23,814,9.1,7.9,도루
박민우,1.76,46,16,KIA,57,17,23,814,9.1,7.9,실패
박민우,1.76,46,16,KIA,57,17,23,814,9.1,7.9,도루
박민우,1.76,46,16,KIA,57,17,23,814,9.1,7.9,도루
박민우,1.76,46,16,KIA,57,17,23,814,9.1,7.9,도루
박민우,1.76,46,16,KIA,57,17,23,814,9.1,7.9,도루
박민우,1.76,46,16,KIA,57,17,23,814,9.1,7.9,도루
박민우,1.76,46,16,KIA,57,17,23,814,9.1,7.9,도루
박해민,8.32,60,8,KIA,57,17,23,814,9.1,7.9,실패
박해민,8.32,60,8,KIA,57,17,23,814,9.1,7.9,도루
박해민,8.32,60,8,KIA,57,17,23,814,9.1,7.9,도루
박해민,8.32,60,8,KIA,57,17,23,814,9.1,7.9,실패
서건창,0.91,9,2,KIA,57,17,23,814,9.1,7.9,도루
송주호,0.74,6,1,KIA,57,17,23,814,9.1,7.9,도루
송주호,0.74,6,1,KIA,57,17,23,814,9.1,7.9,도루
오재원,2.49,31,8,KIA,57,17,23,814,9.1,7.9,도루
오재원,2.49,31,8,KIA,57,17,23,814,9.1,7.9,도루
오재원,2.49,31,8,KIA,57,17,23,814,9.1,7.9,실패
오재원,2.49,31,8,KIA,57,17,23,814,9.1,7.9,도루
오재원,2.49,31,8,KIA,57,17,23,814,9.1,7.9,도루
오재원,2.49,31,8,KIA,57,17,23,814,9.1,7.9,도루
오태곤,1.16,15,4,KIA,57,17,23,814,9.1,7.9,도루
유재신,1.53,10,1,KIA,57,17,23,814,9.1,7.9,도루
유재신,1.53,10,1,KIA,57,17,23,814,9.1,7.9,도루
유재신,1.53,10,1,KIA,57,17,23,814,9.1,7.9,도루
이대형,2.3,44,14,KIA,57,17,23,814,9.1,7.9,도루
이대형,2.3,44,14,KIA,57,17,23,814,9.1,6,도루
이대형,2.3,44,14,KIA,57,17,23,814,9.1,6,실패
이대형,2.3,44,14,KIA,57,17,23,814,9.1,6,도루
이대형,2.3,44,14,KIA,57,17,23,814,9.1,6,도루
이대형,2.3,44,14,KIA,57,17,23,814,9.1,6,도루
이용규,0.99,28,10,KIA,57,17,23,814,9.1,6,도루
이용규,0.99,28,10,KIA,57,17,23,814,9.1,6,도루
이용규,0.99,28,10,KIA,57,17,23,814,9.1,6,실패
이종욱,1.58,17,4,KIA,57,17,23,814,9.1,6,실패
이종욱,1.58,17,4,KIA,57,17,23,814,9.1,6,도루
이종욱,1.58,17,4,KIA,57,17,23,814,9.1,6,도루
이종욱,1.58,17,4,KIA,57,17,23,814,9.1,6.3,도루
정근우,1.46,21,6,KIA,57,17,23,814,9.1,6.3,도루
정근우,1.46,21,6,KIA,57,17,23,814,9.1,6.3,도루
정근우,1.46,21,6,KIA,57,17,23,814,9.1,6.3,도루
정의윤,1.04,5,0,KIA,57,17,23,814,9.1,6.3,도루
조동화,2.23,18,3,KIA,57,17,23,814,9.1,6.3,도루
조동화,2.23,18,3,KIA,57,17,23,814,9.1,6.3,도루
조동화,2.23,18,3,KIA,57,17,23,814,9.1,6.3,도루
테임즈,4.32,40,8,KIA,57,17,23,814,9.1,6.3,도루
