타자,도루RAA,도루 성공,도루 실패,상대,도루,도실,도실%,도루기회,도루시도%,SPD,도루 성공 여부
김강민,4.03,32,5,KIA,71,34,32.4,948,11.1,5.8,도루
김종호,1,22,7,KIA,71,34,32.4,948,11.1,5.8,도루
김종호,1,22,7,KIA,71,34,32.4,948,11.1,5.8,도루
나바로,0.7,25,9,KIA,71,34,32.4,948,11.1,5.8,도루
나바로,0.7,25,9,KIA,71,34,32.4,948,11.1,5.8,도루
나바로,0.7,25,9,KIA,71,34,32.4,948,11.1,6.5,도루
나바로,0.7,25,9,KIA,71,34,32.4,948,11.1,6.5,실패
나바로,0.7,25,9,KIA,71,34,32.4,948,11.1,6.5,도루
나바로,0.7,25,9,KIA,71,34,32.4,948,11.1,6.5,도루
나주환,0.62,10,3,KIA,71,34,32.4,948,11.1,6.5,도루
나주환,0.62,10,3,KIA,71,34,32.4,948,11.1,6.5,도루
모창민,1.41,14,3,KIA,71,34,32.4,948,11.1,6.5,도루
모창민,1.41,14,3,KIA,71,34,32.4,948,11.1,6.5,도루
모창민,1.41,14,3,KIA,71,34,32.4,948,11.1,6.5,실패
박민우,5.27,50,10,KIA,71,34,32.4,948,11.1,6.5,도루
박민우,5.27,50,10,KIA,71,34,32.4,948,11.1,6.5,도루
박민우,5.27,50,10,KIA,71,34,32.4,948,11.1,6.5,도루
박민우,5.27,50,10,KIA,71,34,32.4,948,11.1,6.5,실패
박민우,5.27,50,10,KIA,71,34,32.4,948,11.1,6.5,도루
박민우,5.27,50,10,KIA,71,34,32.4,948,11.1,6.5,도루
박민우,5.27,50,10,KIA,71,34,32.4,948,11.1,6.5,도루
박민우,5.27,50,10,KIA,71,34,32.4,948,11.1,6.5,도루
박민우,5.27,50,10,KIA,71,34,32.4,948,11.1,6.5,도루
박민우,5.27,50,10,KIA,71,34,32.4,948,11.1,6.5,도루
박민우,5.27,50,10,KIA,71,34,32.4,948,11.1,6.5,도루
박민우,5.27,50,10,KIA,71,34,32.4,948,11.1,6.5,도루
박민우,5.27,50,10,KIA,71,34,32.4,948,11.1,6.5,도루
박해민,3.33,36,8,KIA,71,34,32.4,948,11.1,6.5,도루
박해민,3.33,36,8,KIA,71,34,32.4,948,11.1,6.5,실패
박해민,3.33,36,8,KIA,71,34,32.4,948,11.1,6.5,도루
박해민,3.33,36,8,KIA,71,34,32.4,948,11.1,6.5,도루
박해민,3.33,36,8,KIA,71,34,32.4,948,11.1,6.5,도루
박해민,3.33,36,8,KIA,71,34,32.4,948,11.1,6.5,실패
서건창,1.42,48,17,KIA,71,34,32.4,948,11.1,6.5,도루
서건창,1.42,48,17,KIA,71,34,32.4,948,11.1,6.5,도루
서건창,1.42,48,17,KIA,71,34,32.4,948,11.1,6.5,도루
서건창,1.42,48,17,KIA,71,34,32.4,948,11.1,6.5,도루
서건창,1.42,48,17,KIA,71,34,32.4,948,11.1,6.5,도루
서건창,1.42,48,17,KIA,71,34,32.4,948,11.1,6.5,도루
서건창,1.42,48,17,KIA,71,34,32.4,948,11.1,6.5,도루
서건창,1.42,48,17,KIA,71,34,32.4,948,11.1,6.5,도루
