타자,도루RAA,도루 성공,도루 실패,상대,도루,도실,도실%,도루기회,도루시도%,SPD,도루 성공 여부
고종욱,1.83,31,10,KIA,64,27,29.7,1121,8.1,7.6,도루
고종욱,1.83,31,10,KIA,64,27,29.7,1121,8.1,7.6,도루
고종욱,1.83,31,10,KIA,64,27,29.7,1121,8.1,7.6,도루
고종욱,1.83,31,10,KIA,64,27,29.7,1121,8.1,7.6,도루
고종욱,1.83,31,10,KIA,64,27,29.7,1121,8.1,7.6,실패
고종욱,1.83,31,10,KIA,64,27,29.7,1121,8.1,7.6,도루
고종욱,1.83,31,10,KIA,64,27,29.7,1121,8.1,7.6,도루
고종욱,1.83,31,10,KIA,64,27,29.7,1121,8.1,7.6,도루
고종욱,1.83,31,10,kt,64,28,30.4,1365,6.7,7.6,도루
고종욱,1.83,31,10,kt,64,28,30.4,1365,6.7,7.6,실패
고종욱,1.83,31,10,kt,64,28,30.4,1365,6.7,7.6,실패
고종욱,1.83,31,10,kt,64,28,30.4,1365,6.7,7.6,실패
고종욱,1.83,31,10,kt,64,28,30.4,1365,6.7,7.6,도루
고종욱,1.83,31,10,kt,64,28,30.4,1365,6.7,7.6,실패
고종욱,1.83,31,10,kt,64,28,30.4,1365,6.7,7.6,실패
고종욱,1.83,31,10,LG,90,30,25,1543,7.8,7.6,도루
고종욱,1.83,31,10,LG,90,30,25,1543,7.8,7.6,도루
고종욱,1.83,31,10,LG,90,30,25,1543,7.8,7.6,실패
고종욱,1.83,31,10,LG,90,30,25,1543,7.8,7.6,도루
고종욱,1.83,31,10,LG,90,30,25,1543,7.8,7.6,도루
고종욱,1.83,31,10,NC,38,21,35.6,1173,5,7.6,도루
고종욱,1.83,31,10,NC,38,21,35.6,1173,5,7.6,실패
고종욱,1.83,31,10,SK,87,24,21.6,1516,7.3,7.6,실패
고종욱,1.83,31,10,SK,87,24,21.6,1516,7.3,7.6,도루
고종욱,1.83,31,10,SK,87,24,21.6,1516,7.3,7.6,도루
고종욱,1.83,31,10,SK,87,24,21.6,1516,7.3,7.6,실패
고종욱,1.83,31,10,SK,87,24,21.6,1516,7.3,7.6,도루
고종욱,1.83,31,10,SK,87,24,21.6,1516,7.3,7.6,실패
고종욱,1.83,31,10,SK,87,24,21.6,1516,7.3,7.6,도루
고종욱,1.83,31,10,두산,83,25,23.2,1563,6.9,7.6,도루
고종욱,1.83,31,10,두산,83,25,23.2,1563,6.9,7.6,도루
고종욱,1.83,31,10,두산,83,25,23.2,1563,6.9,7.6,도루
고종욱,1.83,31,10,삼성,64,29,31.2,1332,7,7.6,도루
고종욱,1.83,31,10,삼성,64,29,31.2,1332,7,7.6,도루
고종욱,1.83,31,10,삼성,64,29,31.2,1332,7,7.6,도루
고종욱,1.83,31,10,삼성,64,29,31.2,1332,7,7.6,실패
고종욱,1.83,31,10,삼성,64,29,31.2,1332,7,7.6,실패
고종욱,1.83,31,10,삼성,64,29,31.2,1332,7,7.6,실패
고종욱,1.83,31,10,한화,86,41,32.3,1701,7.5,7.6,도루
고종욱,1.83,31,10,한화,86,41,32.3,1701,7.5,7.6,실패
고종욱,1.83,31,10,한화,86,41,32.3,1701,7.5,7.6,도루
구자욱,0.77,11,3,KIA,64,27,29.7,1121,8.1,6.4,도루
구자욱,0.77,11,3,LG,90,30,25,1543,7.8,6.4,도루
구자욱,0.77,11,3,LG,90,30,25,1543,7.8,6.4,도루
구자욱,0.77,11,3,NC,38,21,35.6,1173,5,6.4,도루
구자욱,0.77,11,3,NC,38,21,35.6,1173,5,6.4,실패
구자욱,0.77,11,3,NC,38,21,35.6,1173,5,6.4,실패
구자욱,0.77,11,3,SK,87,24,21.6,1516,7.3,6.4,도루
구자욱,0.77,11,3,SK,87,24,21.6,1516,7.3,6.4,실패
구자욱,0.77,11,3,넥센,50,25,33.3,897,8.4,6.4,실패
구자욱,0.77,11,3,두산,83,25,23.2,1563,6.9,6.4,도루
구자욱,0.77,11,3,두산,83,25,23.2,1563,6.9,6.4,도루
구자욱,0.77,11,3,두산,83,25,23.2,1563,6.9,6.4,실패
구자욱,0.77,11,3,롯데,26,10,27.8,681,5.3,6.4,실패
구자욱,0.77,11,3,롯데,26,10,27.8,681,5.3,6.4,도루
구자욱,0.77,11,3,한화,86,41,32.3,1701,7.5,6.4,도루
구자욱,0.77,11,3,한화,86,41,32.3,1701,7.5,6.4,실패
구자욱,0.77,11,3,한화,86,41,32.3,1701,7.5,6.4,도루
김하성,4.67,33,4,KIA,64,27,29.7,1121,8.1,6,실패
