팀,이름,도루,도실,도실%,도루기회,도루시도%,연도
SK,이재원,50,31,38.3,944,8.6,20
SK,이흥련,33,11,25,499,8.8,20
SK,이현석,33,12,26.7,516,8.7,20
SK,이홍구,14,3,17.7,229,7.4,20
,,,,,,,
,,,,,,,
한화,정범모,43,23,34.9,927,7.1,14
한화,조인성,34,15,30.6,688,7.1,14
한화,김민수,28,18,39.1,372,12.4,14
한화,엄태용,4,1,20,78,6.4,14
,,,,,,,
한화,조인성,83,44,34.7,1235,10.3,15
한화,정범모,39,7,15.2,437,10.5,15
한화,허도환,40,11,21.6,439,11.6,15
한화,지성준,2,0,0,50,4,15
,,,,,,,
한화,차일목,81,36,30.8,1316,8.9,16
한화,조인성,33,19,36.5,589,8.8,16
한화,허도환,16,12,42.9,452,6.2,16
한화,정범모,0,0,,14,0,16
한화,,,,,,,
한화,최재훈,45,23,33.8,1135,6,17
한화,차일목,23,8,25.8,474,6.5,17
한화,정범모,6,6,50,173,6.9,17
한화,허도환,2,3,60,199,2.5,17
한화,,,,,,,
한화,최재훈,54,27,33.3,1334,6.1,18
한화,지성준,31,12,27.9,715,6,18
한화,김창혁,0,2,100,14,14.3,18
한화,,,,,,,
한화,최재훈,86,41,32.3,1701,7.5,19
한화,지성준,15,5,25,372,5.4,19
한화,김종민,5,3,37.5,80,10,19
한화,김창혁,0,0,,17,0,19
한화,,,,,,,
한화,최재훈,80,31,27.9,1481,7.5,20
한화,이해창,31,10,24.4,508,8.1,20
한화,박상언,9,4,30.8,189,6.9,20
한화,허관회,1,0,0,20,5,20
,,,,,,,
,,,,,,,
LG,최경철,69,38,35.5,1328,8.1,14
LG,윤요섭,30,3,9.1,298,11.1,14
LG,김재민,11,2,15.4,149,8.7,14
LG,현재윤,5,0,0,54,9.3,14
,,,,,,,
LG,유강남,87,29,25,1130,10.3,15
LG,최경철,69,38,35.5,1328,8.1,15
LG,조윤준,5,1,16.7,45,13.3,15
LG,김재성,0,2,100,25,8,15
,,,,,,,
LG,유강남,41,28,40.6,1091,6.3,16
LG,정상호,29,11,27.5,667,6,16
LG,최경철,4,5,55.6,224,4,16
LG,박재욱,11,5,31.3,235,6.8,16
LG,,,,,,,
LG,유강남,39,22,36.1,1223,5,17
LG,정상호,23,14,37.8,572,6.5,17
LG,조윤준,3,1,25,123,3.3,17
LG,,,,,,,
LG,유강남,80,34,29.8,1603,7.1,18
LG,정상호,23,7,23.3,479,6.3,18
LG,김기연,0,0,,2,0,18
LG,,,,,,,
LG,유강남,90,30,25,1543,7.8,19
LG,이성우,23,10,30.3,333,9.9,19
LG,정상호,8,0,0,95,8.4,19
LG,김재상,1,1,50,29,6.9,19
LG,,,,,,,
LG,유강남,66,29,30.5,1567,6.1,20
LG,이성우,23,6,20.7,385,7.5,20
LG,박재욱,2,1,33.3,87,3.5,20
,,,,,,,
롯데,강민호,45,26,36.6,1142,6.2,14
롯데,장성우,16,2,11.1,364,5,14
롯데,용덕한,22,7,24.1,397,7.3,14
롯데,김사훈,0,0,,6,0,14
,,,,,,,
롯데,강민호,74,39,34.5,1421,8,15
롯데,안중열,25,12,32.4,484,7.6,15
롯데,장성우,7,3,30,76,13.2,15
롯데,김준태,7,0,0,135,5.2,15
롯데,강민호,62,37,37.4,1347,7.4,16
롯데,김준태,19,17,47.2,586,6.1,16
롯데,김사훈,8,4,33.3,184,6.5,16
롯데,안중열,3,1,25,147,2.7,16
롯데,,,,,,,
롯데,강민호,72,36,33.3,1590,6.8,17
롯데,김사훈,17,9,34.6,391,6.7,17
롯데,나균안,0,0,,20,0,17
롯데,강태율,0,0,,2,0,17
롯데,,,,,,,
롯데,나균안,41,24,36.9,916,7.1,18
롯데,안중열,29,11,27.5,711,5.6,18
롯데,김사훈,29,5,14.7,425,8,18
롯데,나원탁,5,1,16.7,120,5,18
롯데,,,,,,,
롯데,안중열,26,10,27.8,681,5.3,19
롯데,김준태,20,4,16.7,405,5.9,19
롯데,정보근,5,5,50,129,7.8,19
롯데,김사훈,0,0,,11,0,19
롯데,,,,,,,
롯데,김준태,64,14,18,1298,6,20
롯데,정보근,28,14,33.3,552,7.6,20
롯데,강태율,2,0,0,63,3.2,20
롯데,지성준,2,0,0,27,7.4,20
,,,,,,,
KIA,차일목,71,34,32.4,948,11.1,14
KIA,이성우,52,20,27.8,617,11.7,14
KIA,백용환,33,9,21.4,383,11,14
KIA,김상훈,6,0,0,71,8.5,14
,,,,,,,
KIA,이홍구,57,17,23,814,9.1,15
KIA,백용환,39,17,30.4,638,8.8,15
KIA,이성우,35,19,35.2,564,9.6,15
KIA,차일목,11,3,21.4,111,12.6,15
KIA,이홍구,60,12,16.7,908,7.9,16
KIA,백용환,41,21,33.9,771,8,16
KIA,이성우,26,14,35,413,9.7,16
KIA,한승택,19,2,9.5,186,11.3,16
KIA,,,,,,,
KIA,김민식,49,37,43,1551,5.5,17
KIA,한승택,23,8,25.8,536,5.8,17
KIA,백용환,0,0,,49,0,17
KIA,이홍구,1,0,0,42,2.4,17
KIA,,,,,,,
KIA,김민식,72,24,25,1375,7,18
KIA,한승택,12,11,47.8,425,5.4,18
KIA,백용환,10,4,28.6,200,7,18
KIA,신범수,4,1,20,94,5.3,18
KIA,,,,,,,
KIA,한승택,64,27,29.7,1121,8.1,19
KIA,김민식,22,7,24.1,459,6.3,19
KIA,신범수,10,7,41.2,219,7.8,19
KIA,백용환,9,6,40,169,8.9,19
KIA,,,,,,,
KIA,한승택,43,16,27.1,955,6.2,20
KIA,김민식,32,25,43.9,888,6.4,20
KIA,백용환,9,5,35.7,338,4.1,20
KIA,이정훈,0,0,,2,0,20
,,,,,,,
KT,장성우,16,2,11.1,364,5,15
KT,용덕한,27,20,42.6,501,9.4,15
KT,김종민,12,2,14.3,178,7.9,15
KT,안중열,12,5,29.4,161,10.6,15
,,,,,,,
KT,이해창,39,36,48,1141,6.6,16
KT,김종민,61,17,21.8,971,8,16
KT,윤요섭,21,2,8.7,313,7.4,16
KT,,,,,,,
KT,장성우,48,14,22.6,965,6.4,17
KT,이해창,63,28,30.8,1152,7.9,17
KT,김만수,2,1,33.3,39,7.7,17
KT,,,,,,,
KT,장성우,69,27,28.1,1501,6.4,18
KT,이해창,35,15,30,617,8.1,18
KT,이준수,2,0,0,26,7.7,18
KT,,,,,,,
KT,장성우,64,28,30.4,1365,6.7,19
KT,이준수,16,6,27.3,259,8.5,19
KT,안승한,8,3,27.3,183,6,19
KT,이해창,6,6,50,189,6.4,19
KT,,,,,,,
KT,장성우,54,17,23.9,1512,4.7,20
KT,허도환,6,2,25,302,2.7,20
KT,이홍구,12,0,0,138,8.7,20
KT,강현우,5,2,28.6,157,4.5,20
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
KT,,,,,,,
KT,,,,,,,
KT,,,,,,,
KT,,,,,,,
KT,,,,,,,
KT,,,,,,,
KT,,,,,,,
KT,,,,,,,
KT,,,,,,,
KT,,,,,,,
KT,,,,,,,
KT,,,,,,,
KT,,,,,,,
KT,,,,,,,
KT,,,,,,,
KT,,,,,,,
KT,,,,,,,
